"OBS","IP","M1","TB3","FF","PPI"
"1962M06",41.20000076293945,146.6000061035156,2.719000101089478,2.680000066757202,33.29999923706055
"1962M07",41.59999847412109,146.5,2.944999933242798,2.710000038146973,33.40000152587891
"1962M08",41.70000076293945,146.6000061035156,2.836999893188477,2.930000066757202,33.5
"1962M09",41.90000152587891,146.3000030517578,2.79200005531311,2.900000095367432,33.79999923706055
"1962M10",42,146.6999969482422,2.750999927520752,2.900000095367432,33.59999847412109
"1962M11",42.20000076293945,147.3000030517578,2.802999973297119,2.940000057220459,33.59999847412109
"1962M12",42.20000076293945,147.8000030517578,2.855999946594238,2.930000066757202,33.5
"1963M01",42.5,148.3000030517578,2.914000034332275,2.910000085830689,33.5
"1963M02",42.90000152587891,148.8999938964844,2.915999889373779,3,33.40000152587891
"1963M03",43.20000076293945,149.1999969482422,2.897000074386597,2.980000019073486,33.29999923706055
"1963M04",43.59999847412109,149.6999969482422,2.908999919891357,2.900000095367432,33.20000076293945
"1963M05",44.09999847412109,150.3999938964844,2.920000076293945,3,33.29999923706055
"1963M06",44.29999923706055,150.3999938964844,2.994999885559082,2.990000009536743,33.40000152587891
"1963M07",44.09999847412109,151.3999938964844,3.142999887466431,3.019999980926514,33.5
"1963M08",44.20000076293945,151.8000030517578,3.319999933242798,3.490000009536743,33.40000152587891
"1963M09",44.59999847412109,152,3.378999948501587,3.480000019073486,33.40000152587891
"1963M10",44.90000152587891,152.6000061035156,3.453000068664551,3.5,33.5
"1963M11",45.09999847412109,153.6000061035156,3.522000074386597,3.480000019073486,33.5
"1963M12",45.09999847412109,153.3000030517578,3.523000001907349,3.380000114440918,33.40000152587891
"1964M01",45.5,153.6999969482422,3.529000043869019,3.480000019073486,33.59999847412109
"1964M02",45.79999923706055,154.3000030517578,3.532000064849854,3.480000019073486,33.5
"1964M03",45.79999923706055,154.5,3.552999973297119,3.430000066757202,33.40000152587891
"1964M04",46.5,154.8000030517578,3.483999967575073,3.47000002861023,33.40000152587891
