"OBS","G","GV"
"1924M01",-57.545271746443,NA
"1924M02",-3.95387507622313,NA
"1924M03",9.9912934770539,NA
"1924M04",4.1820996369597,NA
"1924M05",-5.22990585939391,NA
"1924M06",-9.47165627723052,NA
"1924M07",-5.29451553787244,NA
"1924M08",-2.65604358101035,NA
"1924M09",14.0105127152877,NA
"1924M10",9.94553130243885,NA
"1924M11",20.4161272101222,NA
"1924M12",29.8623592168784,NA
"1925M01",-57.5987705655679,NA
"1925M02",-15.3070032380223,NA
"1925M03",2.38806048961218,NA
"1925M04",-2.91938659968727,NA
"1925M05",-3.1929065400317,NA
"1925M06",-0.266459421545218,NA
"1925M07",1.06548286689172,NA
"1925M08",6.10823494371786,NA
"1925M09",23.8670308718241,NA
"1925M10",9.57004748882389,NA
"1925M11",3.85811070736777,NA
"1925M12",40.1510362970695,NA
"1926M01",-58.0019637274532,NA
"1926M02",-9.68274798812905,NA
"1926M03",2.62467296237183,NA
"1926M04",4.70999296337427,NA
"1926M05",-2.87613167425436,NA
"1926M06",2.6149498253619,NA
"1926M07",9.10770933867218,NA
"1926M08",-1.03738930169381,NA
"1926M09",14.6987977251967,NA
"1926M10",8.17372253426427,NA
"1926M11",1.0178117658528,NA
"1926M12",31.6270136464349,NA
"1927M01",-57.8547557820571,NA
"1927M02",-15.7001803450352,NA
"1927M03",3.41918039543847,NA
"1927M04",6.0255557233571,NA
"1927M05",-4.97545720961652,NA
"1927M06",-7.63411590848167,NA
"1927M07",5.27010069717502,NA
"1927M08",-0.525969765159484,NA
"1927M09",17.7548930831356,NA
"1927M10",3.62303488500277,NA
"1927M11",1.29129464736311,NA
"1927M12",28.5667050047208,NA
"1928M01",-68.1898520103093,NA
"1928M02",-20.4489253222433,NA
"1928M03",0.271339741122212,NA
"1928M04",5.41395008109795,NA
"1928M05",-2.16264983067438,NA
"1928M06",3.78208327483449,NA
"1928M07",2.69420858572182,NA
"1928M08",-0.807627624427987,NA
"1928M09",16.3158648569811,NA
"1928M10",8.47124629847995,NA
"1928M11",6.31441930566119,NA
"1928M12",38.2214362658779,NA
"1929M01",-67.9772225016264,NA
"1929M02",-16.794856535454,NA
"1929M03",6.25780808240615,NA
"1929M04",-8.16885387362989,NA
"1929M05",1.36534318973212,NA
"1929M06",0.818460870651005,NA
"1929M07",20.8183660015357,NA
"1929M08",3.47942699440118,NA
"1929M09",9.05262779965321,NA
"1929M10",-0.26528130980159,NA
"1929M11",9.2501283933438,NA
"1929M12",25.5273355267731,NA
"1930M01",-77.4462253650853,NA
"1930M02",-27.2486221028431,NA
"1930M03",-6.20302133106279,NA
"1930M04",-3.96413763045649,NA
"1930M05",-5.97086885236839,NA
"1930M06",-2.28245432577756,NA
"1930M07",-1.71469426650965,NA
"1930M08",-2.0035782829833,NA
"1930M09",4.86004237873239,NA
"1930M10",2.28028572178704,NA
"1930M11",7.66413013254725,NA
